GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
JabRef,org.jabref.logic.msbib,MSBibEntry,8,981,7,61,2,189,8,44,1,17
JabRef,org.jabref.logic.msbib,MSBibEntryType,0,105,0,0,0,18,0,1,0,1
JabRef,org.jabref.logic.msbib,MSBibConverter,41,434,8,36,4,66,10,27,2,13
JabRef,org.jabref.logic.msbib,BibTeXConverter,6,315,2,26,1,62,2,16,0,4
JabRef,org.jabref.logic.msbib,MSBibMapping,0,466,0,0,0,82,0,7,0,7
JabRef,org.jabref.logic.msbib,MSBibDatabase,17,190,3,9,5,50,3,9,0,6
JabRef,org.jabref.logic.msbib,PageNumbers,59,47,2,4,14,13,3,6,2,4
JabRef,org.jabref.logic.msbib,MsBibAuthor,7,91,1,5,1,24,1,11,0,9
JabRef,org.jabref.gui.help,ErrorConsoleAction,13,0,0,0,4,0,2,0,2,0
JabRef,org.jabref.gui.help,VersionWorker,161,0,12,0,31,0,17,0,11,0
JabRef,org.jabref.gui.help,AboutDialogViewModel,254,0,4,0,58,0,25,0,23,0
JabRef,org.jabref.gui.help,NewVersionDialog,157,0,4,0,24,0,5,0,3,0
JabRef,org.jabref.gui.help,AboutAction,20,0,0,0,7,0,3,0,3,0
JabRef,org.jabref.gui.help,SearchForUpdateAction,29,0,0,0,9,0,2,0,2,0
JabRef,org.jabref.gui.help,AboutDialogView,80,0,0,0,28,0,12,0,12,0
JabRef,org.jabref.gui.help,HelpAction,30,0,0,0,10,0,3,0,3,0
JabRef,org.jabref.gui.auximport,FromAuxDialog,186,0,10,0,38,0,10,0,5,0
JabRef,org.jabref.gui.auximport,AuxParserResultViewModel,32,104,5,3,4,13,4,2,0,2
JabRef,org.jabref.gui.auximport,NewSubLibraryAction,24,0,0,0,7,0,2,0,2,0
JabRef,org.jabref.gui.preferences.protectedterms,NewProtectedTermsFileDialog,194,0,2,0,26,0,5,0,4,0
JabRef,org.jabref.gui.preferences.protectedterms,ProtectedTermsTabViewModel,361,0,16,0,87,0,20,0,12,0
JabRef,org.jabref.gui.preferences.protectedterms,ProtectedTermsListItemModel,51,0,0,0,11,0,6,0,6,0
JabRef,org.jabref.gui.preferences.protectedterms,ProtectedTermsTab,258,0,2,0,47,0,20,0,19,0
JabRef,org.jabref.gui.preferences.protectedterms,ProtectedTermsTab.ContextAction,68,0,9,0,14,0,8,0,2,0
JabRef,org.jabref.logic.openoffice.action,EditMerge,444,0,58,0,110,0,35,0,6,0
JabRef,org.jabref.logic.openoffice.action,Update,64,0,4,0,14,0,5,0,3,0
JabRef,org.jabref.logic.openoffice.action,EditSeparate,103,0,8,0,27,0,5,0,1,0
JabRef,org.jabref.logic.openoffice.action,ExportCited.GenerateDatabaseResult,9,0,0,0,4,0,1,0,1,0
JabRef,org.jabref.logic.openoffice.action,ExportCited,111,0,8,0,27,0,6,0,2,0
JabRef,org.jabref.logic.openoffice.action,EditInsert,96,0,8,0,23,0,6,0,2,0
JabRef,org.jabref.logic.openoffice.action,Update.SyncOptions,22,0,0,0,9,0,3,0,3,0
JabRef,org.jabref.logic.openoffice.action,ManageCitations,19,0,0,0,5,0,2,0,2,0
JabRef,org.jabref.logic.openoffice.action,EditMerge.JoinableGroupData,9,0,0,0,4,0,1,0,1,0
JabRef,org.jabref.logic.openoffice.action,EditMerge.ScanState,23,0,0,0,9,0,2,0,2,0
JabRef,org.jabref.gui.preferences,PreferenceTabViewModel,4,0,0,0,2,0,2,0,2,0
JabRef,org.jabref.gui.preferences,PreferencesDialogViewModel,501,0,14,0,99,0,21,0,14,0
JabRef,org.jabref.gui.preferences,AbstractPreferenceTabView,21,0,0,0,8,0,6,0,6,0
